Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13754317,Starting Out in Shares: The ASX Way,Australian Securities Exchange,"Exchange, Australian Securities",,"=""0731407377""","=""9780731407378""",0,4.50,Wrightbooks,Paperback,201,2011,2008,,2018/02/26,"non-fiction, unclassified-exclusive","non-fiction (#44), unclassified-exclusive (#91)",unclassified-exclusive,,,,0,0
6906189,Change of Heart,Jodi Picoult,"Picoult, Jodi",,"=""""","=""9781741757613""",0,3.94,Allen & Unwin,Paperback,496,2009,2008,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#90), fiction (#127)",unclassified-exclusive,,,,0,0
38805753,Australian & World Records 2006,Jenifer Corr Morse,"Morse, Jenifer Corr",David Harris,"=""""","=""9781865048178""",0,0.0,Scholastic Australia,Paperback,,,,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#89), non-fiction (#43)",unclassified-exclusive,,,,0,0
812769,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",John M.L. Drew,"=""""","=""""",0,4.11,Wordsworth Editions,Paperback,194,2001,1890,,2018/02/26,"fiction, unclassified-exclusive","fiction (#125), unclassified-exclusive (#87)",unclassified-exclusive,,,,0,0
370789,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0345331354""","=""9780345331359""",0,4.38,Ballantine Books,Paperback,324,1985,1980,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#86), non-fiction (#42)",unclassified-exclusive,,,,0,0
12673395,Secrets Of Internet Entrepreneurs Exposed,Dale Beaumont,"Beaumont, Dale",,"=""0980308704""","=""9780980308709""",0,3.25,Dream Express International,,,2007,2007,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#85), non-fiction (#41)",unclassified-exclusive,,,,0,0
9263803,The Secret,Rhonda Byrne,"Byrne, Rhonda","Can Üstünuçar, Pantha Nirvano","=""9944482137""","=""9789944482134""",0,3.72,MİA Basım Yayın,Hardcover,200,2007,2006,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#84), fiction (#124)",unclassified-exclusive,,,,0,0
3942883,Understanding Dreams,Keith Hearne,"Hearne, Keith",David Melbourne,"=""1853688126""","=""9781853688126""",0,3.58,New Holland Australia(AU),Hardcover,128,2000,2000,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#83), non-fiction (#39)",unclassified-exclusive,,,,0,0
28285656,100 Australian Poems for Children,Clare Scott-Mitchell,"Scott-Mitchell, Clare","Kathlyn Griffith, Gregory Rogers","=""174051775X""","=""9781740517751""",0,3.33,Random House Australia,Hardcover,119,2002,,,2018/02/26,"unclassified-exclusive, fiction","unclassified-exclusive (#82), fiction (#123)",unclassified-exclusive,,,,0,0
22510078,History's Greatest Mysteries and the Secrets Behind Them,Bill Price,"Price, Bill",,"=""1435143930""","=""9781435143937""",0,3.33,Metro Books,Paperback,256,2012,2012,,2018/02/26,"unclassified-exclusive, non-fiction","unclassified-exclusive (#81), non-fiction (#38)",unclassified-exclusive,,,,0,0
